p1,p2,p3,p4,p5,p6,p7,p8,p9,params,powers
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,9,8
0,0,0,0,0,0,0,1,0,8,7
0,0,0,0,0,0,0,1,1,11,11
0,0,0,0,0,0,1,0,0,9,8
0,0,0,0,0,0,1,0,1,12,12
0,0,0,0,0,0,1,1,0,10,10
0,0,0,0,0,0,1,1,1,10,10
0,0,0,0,0,1,0,0,0,12,11
0,0,0,0,0,1,0,0,1,6,6
0,0,0,0,0,1,0,1,0,12,12
0,0,0,0,0,1,0,1,1,3,3
0,0,0,0,0,1,1,0,0,10,10
0,0,0,0,0,1,1,0,1,6,6
0,0,0,0,0,1,1,1,0,7,7
0,0,0,0,0,1,1,1,1,4,4
0,0,0,0,1,0,0,0,0,8,7
0,0,0,0,1,0,0,0,1,13,13
0,0,0,0,1,0,0,1,0,9,9
0,0,0,0,1,0,0,1,1,8,8
0,0,0,0,1,0,1,0,0,14,14
0,0,0,0,1,0,1,0,1,10,10
0,0,0,0,1,0,1,1,0,2,2
0,0,0,0,1,0,1,1,1,-1,-1
0,0,0,0,1,1,0,0,0,18,18
0,0,0,0,1,1,0,0,1,4,4
0,0,0,0,1,1,0,1,0,9,9
0,0,0,0,1,1,0,1,1,7,7
0,0,0,0,1,1,1,0,0,7,7
0,0,0,0,1,1,1,0,1,4,4
0,0,0,0,1,1,1,1,0,5,5
0,0,0,0,1,1,1,1,1,-2,-2
0,0,0,1,0,0,0,0,0,10,9
0,0,0,1,0,0,0,0,1,20,20
0,0,0,1,0,0,0,1,0,14,14
0,0,0,1,0,0,0,1,1,5,5
0,0,0,1,0,0,1,0,0,8,8
0,0,0,1,0,0,1,0,1,7,7
0,0,0,1,0,0,1,1,0,10,10
0,0,0,1,0,0,1,1,1,4,4
0,0,0,1,0,1,0,0,0,10,10
0,0,0,1,0,1,0,0,1,12,12
0,0,0,1,0,1,0,1,0,12,12
0,0,0,1,0,1,0,1,1,4,4
0,0,0,1,0,1,1,0,0,5,5
0,0,0,1,0,1,1,0,1,5,5
0,0,0,1,0,1,1,1,0,3,3
0,0,0,1,0,1,1,1,1,-4,-4
0,0,0,1,1,0,0,0,0,19,19
0,0,0,1,1,0,0,0,1,7,7
0,0,0,1,1,0,0,1,0,10,10
0,0,0,1,1,0,0,1,1,8,8
0,0,0,1,1,0,1,0,0,12,12
0,0,0,1,1,0,1,0,1,5,5
0,0,0,1,1,0,1,1,0,3,3
0,0,0,1,1,0,1,1,1,-5,-5
0,0,0,1,1,1,0,0,0,6,6
0,0,0,1,1,1,0,0,1,9,9
0,0,0,1,1,1,0,1,0,2,2
0,0,0,1,1,1,0,1,1,-6,-6
0,0,0,1,1,1,1,0,0,9,9
0,0,0,1,1,1,1,0,1,-2,-2
0,0,0,1,1,1,1,1,0,-3,-3
0,0,0,1,1,1,1,1,1,-8,-8
0,0,1,0,0,0,0,0,0,11,10
0,0,1,0,0,0,0,0,1,15,15
0,0,1,0,0,0,0,1,0,9,9
0,0,1,0,0,0,0,1,1,9,9
0,0,1,0,0,0,1,0,0,8,8
0,0,1,0,0,0,1,0,1,9,9
0,0,1,0,0,0,1,1,0,5,5
0,0,1,0,0,0,1,1,1,3,3
0,0,1,0,0,1,0,0,0,15,15
0,0,1,0,0,1,0,0,1,10,10
0,0,1,0,0,1,0,1,0,12,12
0,0,1,0,0,1,0,1,1,2,2
0,0,1,0,0,1,1,0,0,5,5
0,0,1,0,0,1,1,0,1,5,5
0,0,1,0,0,1,1,1,0,7,7
0,0,1,0,0,1,1,1,1,-3,-3
0,0,1,0,1,0,0,0,0,14,14
0,0,1,0,1,0,0,0,1,9,9
0,0,1,0,1,0,0,1,0,10,10
0,0,1,0,1,0,0,1,1,4,4
0,0,1,0,1,0,1,0,0,10,10
0,0,1,0,1,0,1,0,1,4,4
0,0,1,0,1,0,1,1,0,6,6
0,0,1,0,1,0,1,1,1,-5,-5
0,0,1,0,1,1,0,0,0,8,8
